Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,CrdY/90,CrdR/90,G/90,A/90,(G+A)/90,PKatt,PK,(G-PK)/90,(G+A-PK)/90,xG/90,xA/90,(xG+xA)/90,npxG/90,(npxG+xA)/90,(G-xG)/90,(np:G-xG)/90,Sh/90,SoT/90,PassAtt/90,Prog/90,Cmp%,ShortAtt/90,MedAtt/90,LongAtt/90,(A-xA)/90,KP/90,(1/3)/90,PPA/90,CrsPA/90,LiveAtt/90,DeadAtt/90,(PassAtt:FK)/90,(PassAtt:CK)/90,(PassAtt:TI)/90,TB/90,UndPress/90,Sw/90,Crs/90,GroundAtt%,LowAtt%,HighAtt%,LeftAtt%,RightAtt%,HeadAtt%,OtherAtt%,Off%,Out%,OppInt%,OppBlk%,SCA/90,(SCA:Live)/90,(SCA:Dead)/90,(SCA:Drib)/90,(SCA:Sh)/90,(SCA:Fld)/90,(SCA:Def)/90,GCA/90,(GCA:Live)/90,(GCA:Dead)/90,(GCA:Drib)/90,(GCA:Sh)/90,(GCA:Fld)/90,(GCA:Def)/90,Tkl/90,TklW/90,(Tkl:Def)/90,(Tkl:Mid)/90,(Tkl:Att)/90,DriTkl/90,DriTklW/90,Press/90,SuccPress/90,(Press:Def)/90,(Press:Mid)/90,(Press:Att)/90,Blk/90,Blk:Sh/90,Blk:ShoT/90,Int/90,(Tkl+Int)/90,Clr/90,Tch/90,TchDef:Pen%,Tch:Def%,Tch:Mid%,Tch:Att%,TchAtt:Pen%,Tch:Live%,Dri/90,DriW%,Carries/90,CarrAvgDist,PCarrDist%,PCarries/90,(1/3 Carr)/90,CPA/90,Mis/90,Dis/90,Targ/90,Rec%,Rec:Prog%
Ismael Aaneba,FRA,"FW,DF",Strasbourg,Ligue 1,21,2,0,11,0.1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,100.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,20.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,50.0,,80.0,20.0,0.0,,80.0,0.0,,20.0,5.0,40.0,0.0,0.0,0.0,0.0,0.0,30.0,33.3,0.0
Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,29,22,20,1777,19.7,0.1,0.0,0.0,0.05,0.05,0,0,0.0,0.05,0.06,0.04,0.1,0.06,0.1,-0.06,-0.06,0.91,0.3,54.87,5.69,78.9,25.99,21.17,7.72,0.01,0.56,3.45,1.32,0.2,47.31,9.9,1.83,0.1,7.97,0.1,5.69,1.02,1.73,63.6,19.4,16.9,65.9,17.2,2.2,0.3,1.1,2.0,2.6,3.0,1.32,1.12,0.15,0.05,0.0,0.0,0.0,0.15,0.1,0.05,0.0,0.0,0.0,0.0,1.68,0.96,1.07,0.56,0.05,2.13,0.76,10.46,3.5,6.6,2.84,1.02,1.57,0.36,0.05,1.73,3.4,2.03,70.66,11.0,29.1,46.2,24.7,11.0,80.9,1.07,42.9,37.21,4.8,54.1,5.79,1.52,0.46,0.66,0.81,42.39,92.8,5.9
Issah Abbas,GHA,"DF,FW",Mainz 05,Bundesliga,21,2,0,18,0.2,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,5.0,86.7,35.0,30.0,10.0,0.0,0.0,5.0,0.0,0.0,60.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,66.7,26.7,6.7,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,12.5,26.3,31.6,42.1,12.5,78.9,10.0,50.0,55.0,4.27,85.1,10.0,5.0,0.0,0.0,5.0,60.0,91.7,18.2
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,32,33,33,2889,32.1,0.12,0.03,0.09,0.0,0.09,0,0,0.09,0.09,0.05,0.01,0.06,0.05,0.06,0.04,0.04,0.47,0.16,52.77,2.83,87.8,11.74,29.63,11.4,-0.01,0.12,2.52,0.03,0.0,51.59,1.84,1.84,0.0,0.0,0.0,5.23,1.21,0.0,79.6,7.2,13.2,66.2,27.7,3.3,0.2,0.2,1.5,1.4,0.8,0.34,0.31,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21,1.4,1.59,0.62,0.0,1.15,0.47,11.81,4.55,7.85,3.43,0.53,1.59,0.62,0.06,1.74,3.96,5.3,69.47,51.2,53.9,44.2,1.8,51.2,91.0,0.62,60.0,41.71,5.65,55.4,1.81,0.25,0.03,0.25,0.47,43.83,97.0,0.5
Sabit Abdulai,GHA,MF,Getafe,La Liga,21,3,0,60,0.7,1.43,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,1.43,58.3,2.86,7.14,4.29,0.0,0.0,0.0,1.43,0.0,17.14,0.0,0.0,0.0,0.0,0.0,10.0,1.43,1.43,66.7,0.0,33.3,8.3,83.3,8.3,0.0,0.0,8.3,8.3,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,1.43,0.0,1.43,0.0,22.86,5.71,7.14,11.43,4.29,0.0,0.0,0.0,1.43,2.86,1.43,27.14,0.0,10.5,57.9,31.6,0.0,89.5,4.29,33.3,15.71,4.18,47.8,1.43,1.43,0.0,0.0,0.0,14.29,80.0,12.5
Mehdi Abeid,ALG,MF,Nantes,Ligue 1,27,18,15,1320,14.7,0.34,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.07,0.05,0.12,0.07,0.12,-0.07,-0.07,1.36,0.0,47.69,2.86,85.0,17.89,19.32,10.48,-0.05,0.82,4.08,0.48,0.27,45.99,3.33,2.18,0.95,0.2,0.07,5.65,2.24,1.43,75.0,9.7,15.3,13.8,81.2,2.6,0.6,0.7,2.1,1.4,1.0,1.91,1.22,0.27,0.14,0.0,0.14,0.14,0.07,0.07,0.0,0.0,0.0,0.0,0.0,2.52,1.63,1.09,1.22,0.2,1.7,0.75,16.67,5.78,5.1,9.05,2.52,1.22,0.14,0.0,1.56,4.08,0.95,64.49,7.5,23.5,58.1,18.4,7.5,87.0,2.18,71.9,40.48,5.86,48.5,4.08,1.5,0.07,0.41,1.22,42.72,90.0,2.5
Laurent Abergel,FRA,MF,Lorient,Ligue 1,27,38,32,2963,32.9,0.15,0.0,0.09,0.03,0.12,0,0,0.09,0.12,0.04,0.04,0.08,0.04,0.08,0.05,0.05,0.91,0.3,46.53,3.37,83.5,18.33,19.42,8.78,-0.01,0.64,3.43,0.52,0.12,46.99,1.4,1.12,0.03,0.21,0.06,9.7,1.61,0.55,73.7,12.4,13.8,8.6,87.4,2.8,0.3,0.3,1.8,3.1,1.8,1.7,1.22,0.03,0.03,0.15,0.12,0.15,0.3,0.18,0.03,0.0,0.03,0.03,0.03,4.86,3.28,1.98,2.4,0.49,5.44,1.61,29.12,8.18,9.82,16.38,2.92,1.55,0.18,0.03,1.4,6.26,0.4,63.59,5.5,24.5,60.7,14.8,5.5,92.4,0.94,71.0,41.4,4.25,49.9,3.25,1.03,0.09,1.25,1.4,43.37,92.6,3.6
Charles Abi,FRA,"FW,MF",Saint-Étienne,Ligue 1,20,24,9,912,10.1,0.1,0.0,0.3,0.2,0.49,0,0,0.3,0.49,0.21,0.03,0.24,0.21,0.24,0.09,0.09,1.87,0.39,17.92,1.09,67.3,10.79,5.15,1.98,0.17,0.79,0.89,0.5,0.0,19.7,1.49,0.0,0.0,0.0,0.1,7.62,0.2,0.4,65.4,15.4,19.2,66.4,12.1,7.5,1.4,0.0,3.3,0.5,6.5,1.38,1.09,0.1,0.1,0.0,0.1,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.69,0.4,0.59,0.1,0.0,1.39,0.5,22.18,5.64,2.38,10.5,9.31,0.69,0.1,0.0,0.69,1.39,0.59,36.04,27.8,11.3,45.3,43.4,27.8,90.7,2.67,44.4,20.69,4.63,52.1,2.67,1.09,0.4,3.47,2.48,48.71,51.4,26.1
Matthis Abline,FRA,FW,Rennes,Ligue 1,17,1,0,2,0.0,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,inf,,0.0,inf,,,,,,,,inf,,,,,,,,,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,inf,,,inf,,,,,,,,inf,0.0,0.0,0.0,100.0,0.0,100.0,inf,100.0,inf,3.5,42.9,,,,,,inf,100.0,0.0
Pape Abou Cisse,SEN,DF,Saint-Étienne,Ligue 1,24,14,14,1260,14.0,0.07,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.08,0.0,0.09,0.08,0.09,-0.09,-0.09,0.93,0.21,43.79,2.21,80.9,9.57,19.57,14.64,-0.01,0.21,2.14,0.14,0.0,42.71,1.86,1.71,0.0,0.14,0.0,4.79,3.07,0.07,67.9,8.2,23.9,30.6,62.0,4.8,0.0,0.0,2.4,0.8,0.5,0.5,0.29,0.0,0.0,0.14,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.79,1.14,0.43,0.0,1.21,0.64,7.64,3.21,5.21,2.07,0.36,1.14,0.36,0.0,2.29,3.86,10.14,65.14,64.0,56.8,40.5,2.7,64.0,91.0,0.43,83.3,32.57,6.61,54.8,1.14,0.07,0.0,0.14,0.07,33.71,97.7,0.0
