Player,Nation,Pos,Squad,Comp,CrdY/90,CrdR/90,G/90,A/90,PKatt,xA/90,(G-xG)/90,Sh/90,PassAtt/90,Prog/90,Cmp%,ShortAtt/90,LongAtt/90,(A-xA)/90,(1/3)/90,PPA/90,CrsPA/90,DeadAtt/90,(PassAtt:FK)/90,(PassAtt:CK)/90,(PassAtt:TI)/90,TB/90,UndPress/90,Sw/90,Crs/90,GroundAtt%,LowAtt%,HighAtt%,LeftAtt%,RightAtt%,HeadAtt%,OtherAtt%,Off%,Out%,OppInt%,OppBlk%,(SCA:Drib)/90,(SCA:Sh)/90,(SCA:Fld)/90,(SCA:Def)/90,GCA/90,(GCA:Dead)/90,(GCA:Drib)/90,(GCA:Sh)/90,(GCA:Fld)/90,(GCA:Def)/90,Tkl/90,(Tkl:Def)/90,(Tkl:Mid)/90,(Tkl:Att)/90,DriTkl/90,DriTklW/90,Press/90,SuccPress/90,(Press:Def)/90,(Press:Att)/90,Blk/90,Blk:Sh/90,Blk:ShoT/90,Int/90,Clr/90,TchDef:Pen%,Tch:Mid%,Tch:Att%,Tch:Live%,Dri/90,DriW%,CarrAvgDist,PCarrDist%,PCarries/90,(1/3 Carr)/90,CPA/90,Mis/90,Dis/90,Targ/90,Rec%,Rec:Prog%,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,0.1,0.0,0.0,0.05,0,0.04,-0.06,0.91,57.21,5.69,78.9,25.99,7.72,0.01,3.45,1.32,0.2,9.9,1.83,0.1,7.97,0.1,5.69,1.02,1.73,63.6,19.4,16.9,65.9,17.2,2.2,0.3,1.1,2.0,2.6,3.0,0.05,0.0,0.0,0.0,0.15,0.05,0.0,0.0,0.0,0.0,1.68,1.07,0.56,0.05,2.13,0.76,10.46,3.5,6.6,1.02,1.57,0.36,0.05,1.73,2.03,11.0,46.2,24.7,80.9,1.07,42.9,4.8,54.1,5.79,1.52,0.46,0.66,0.81,42.39,92.8,5.9,-2.012856312454924,2.4284995287218027,2.8964279582660266,-1.5347728982890494,-0.37866471125955614,-1.6111023448472004,0.963798825014593,-0.05708205603607821,-0.060940374773403194,-0.17866189071730373,0.6062822949420683,-0.4580543157635097,0.592756758333602,-1.5529842968957717,-0.36439367999872607,2.4976875309973137,1.1775662748213835,1.679215145136181
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,0.12,0.03,0.09,0.0,0,0.01,0.04,0.47,53.43,2.83,87.8,11.74,11.4,-0.01,2.52,0.03,0.0,1.84,1.84,0.0,0.0,0.0,5.23,1.21,0.0,79.6,7.2,13.2,66.2,27.7,3.3,0.2,0.2,1.5,1.4,0.8,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21,1.59,0.62,0.0,1.15,0.47,11.81,4.55,7.85,0.53,1.59,0.62,0.06,1.74,5.3,51.2,44.2,1.8,91.0,0.62,60.0,5.65,55.4,1.81,0.25,0.03,0.25,0.47,43.83,97.0,0.5,-5.774045506406129,-2.3417186911416823,-1.1930820227245906,-1.0106217265009592,-1.0120406361025354,1.6590071142764617,2.260379463751308,0.31394428092299936,-0.02746365939153581,0.8097012292223641,0.14763201243215462,0.009211007656760056,1.0265539652602718,-1.390059945856009,-0.671135441129768,-0.14137570057351048,1.6564244868235733,0.8264622412509784
Mehdi Abeid,ALG,MF,Nantes,Ligue 1,0.34,0.0,0.0,0.0,0,0.05,-0.07,1.36,49.32,2.86,85.0,17.89,10.48,-0.05,4.08,0.48,0.27,3.33,2.18,0.95,0.2,0.07,5.65,2.24,1.43,75.0,9.7,15.3,13.8,81.2,2.6,0.6,0.7,2.1,1.4,1.0,0.14,0.0,0.14,0.14,0.07,0.0,0.0,0.0,0.0,0.0,2.52,1.09,1.22,0.2,1.7,0.75,16.67,5.78,5.1,2.52,1.22,0.14,0.0,1.56,0.95,7.5,58.1,18.4,87.0,2.18,71.9,5.86,48.5,4.08,1.5,0.07,0.41,1.22,42.72,90.0,2.5,-2.462221894793669,1.6509845988170941,-1.2424287821849294,1.872011863840349,0.8856234656757089,0.9556361695204748,-0.8132561158900736,-2.362629201860551,-0.01177854546109086,0.33775216739748376,-0.019165438030672468,0.7970218356829334,-0.6476995740404654,1.0038611640041986,0.19366523431615662,0.551288175274235,-0.5667326885221392,0.03440061161387544
Laurent Abergel,FRA,MF,Lorient,Ligue 1,0.15,0.0,0.09,0.03,0,0.04,0.05,0.91,48.39,3.37,83.5,18.33,8.78,-0.01,3.43,0.52,0.12,1.4,1.12,0.03,0.21,0.06,9.7,1.61,0.55,73.7,12.4,13.8,8.6,87.4,2.8,0.3,0.3,1.8,3.1,1.8,0.03,0.15,0.12,0.15,0.3,0.03,0.0,0.03,0.03,0.03,4.86,1.98,2.4,0.49,5.44,1.61,29.12,8.18,9.82,2.92,1.55,0.18,0.03,1.4,0.4,5.5,60.7,14.8,92.4,0.94,71.0,4.25,49.9,3.25,1.03,0.09,1.25,1.4,43.37,92.6,3.6,-2.4987448425049332,4.029056379842376,-1.2368248766958583,8.821702377824685,0.8703220104083442,2.192024810525448,0.27839214013161145,1.6883891356335212,-0.4109135767231803,1.1668031874297973,-1.0479237702219855,0.357921749279681,0.6035854046982695,0.6844790223199266,0.6195505706960207,0.40503549038473863,1.3394756593150126,0.22578983110688064
Charles Abi,FRA,"FW,MF",Saint-Étienne,Ligue 1,0.1,0.0,0.3,0.2,0,0.03,0.09,1.87,21.19,1.09,67.3,10.79,1.98,0.17,0.89,0.5,0.0,1.49,0.0,0.0,0.0,0.1,7.62,0.2,0.4,65.4,15.4,19.2,66.4,12.1,7.5,1.4,0.0,3.3,0.5,6.5,0.1,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.69,0.59,0.1,0.0,1.39,0.5,22.18,5.64,2.38,9.31,0.69,0.1,0.0,0.69,0.59,27.8,45.3,43.4,90.7,2.67,44.4,4.63,52.1,2.67,1.09,0.4,3.47,2.48,48.71,51.4,26.1,4.642403220720009,-3.9667637721728335,0.5746652113874497,1.3407477400537289,0.014278624998938274,-0.5757085467572851,2.0505798486402838,-0.2247376478459771,2.6050646559691675,-0.827690479717616,0.6483930746678783,-2.1332912295501307,-1.3200864333700297,-0.35079451305128434,0.16805243714847481,-1.7238349765422538,2.1967159748439262,-0.5888947821616696
Pape Abou Cisse,SEN,DF,Saint-Étienne,Ligue 1,0.07,0.0,0.0,0.0,0,0.0,-0.09,0.93,44.57,2.21,80.9,9.57,14.64,-0.01,2.14,0.14,0.0,1.86,1.71,0.0,0.14,0.0,4.79,3.07,0.07,67.9,8.2,23.9,30.6,62.0,4.8,0.0,0.0,2.4,0.8,0.5,0.0,0.14,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,1.14,0.43,0.0,1.21,0.64,7.64,3.21,5.21,0.36,1.14,0.36,0.0,2.29,10.14,64.0,40.5,2.7,91.0,0.43,83.3,6.61,54.8,1.14,0.07,0.0,0.14,0.07,33.71,97.7,0.0,-5.898108230938097,-3.7059072969550564,-0.22195897973426412,-2.6796187241704867,0.5697472393240576,2.754455259748691,0.6133281136064392,-0.5198565724596754,-0.4726279408021308,-0.7652726940970321,-0.9475341557823833,-0.17002809465627958,1.419660605628917,1.0591118980621,1.2147986678545586,-0.6783283130354563,-0.8895221064601926,-1.3198753459853914
David Abraham,ARG,DF,Eint Frankfurt,Bundesliga,0.37,0.07,0.07,0.0,0,0.03,0.02,0.66,50.66,3.16,81.9,15.0,11.84,-0.04,3.68,0.22,0.15,4.19,1.25,0.0,2.94,0.07,5.51,1.69,0.59,62.8,13.5,23.7,9.9,72.6,7.8,0.1,0.4,1.0,0.7,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.74,0.37,0.15,1.47,0.59,10.59,4.71,5.96,1.18,1.91,0.37,0.07,1.1,2.43,8.0,50.0,11.8,87.4,0.44,50.0,5.31,54.6,3.24,0.66,0.0,0.22,0.0,34.78,96.0,1.8,-4.464705742189934,-1.3935413598764264,0.7887710823589924,-0.5621291576500834,0.8139305956720008,-0.41048811440001876,-1.222990237419381,-0.6044309410289628,-1.3929583540461528,0.36853685122394053,1.2491364009445116,0.4172308878613954,-0.21187780662558675,-1.607333354467932,-1.9341482431058108,-0.42055096222707083,1.3906564340198346,2.215030600678928
Tammy Abraham,ENG,FW,Chelsea,Premier League,0.0,0.0,0.52,0.09,0,0.07,-0.03,2.77,18.79,0.95,68.3,10.17,1.29,0.01,1.03,0.17,0.0,0.86,0.17,0.0,0.0,0.0,6.64,0.09,0.34,62.4,24.8,12.8,7.8,67.4,8.3,5.5,0.0,1.8,1.4,6.0,0.09,0.26,0.26,0.0,0.17,0.0,0.0,0.0,0.09,0.0,0.69,0.26,0.34,0.09,0.52,0.09,13.97,3.28,1.12,6.72,0.78,0.17,0.0,0.17,1.47,39.8,44.8,44.5,93.0,1.64,31.6,4.01,35.5,1.12,0.43,0.34,2.24,1.12,42.33,51.1,38.2,5.635286017499154,-7.4704409975635615,-0.39091549003618625,0.7810207468553364,0.6957422928654612,-2.94362378046429,-0.5388052416233626,0.6965855816651303,0.6536707330488367,0.12227038656362481,0.022107356677796276,0.8694938482105905,1.2227164699618707,-0.10870543192194901,1.2026899925065853,-1.2705589421114705,1.5944775087494385,-1.3714151620324002
Francesco Acerbi,ITA,DF,Lazio,Serie A,0.29,0.03,0.0,0.03,0,0.03,-0.03,0.26,65.02,3.16,88.6,19.33,14.57,0.0,3.67,0.64,0.29,3.45,1.73,0.0,0.77,0.03,5.85,2.33,0.83,72.1,10.2,17.7,75.6,16.7,4.6,0.2,0.2,1.3,0.7,0.7,0.0,0.06,0.0,0.06,0.13,0.0,0.0,0.0,0.0,0.0,1.76,1.15,0.51,0.1,1.18,0.35,11.18,4.66,6.42,0.96,1.63,0.61,0.0,1.98,4.95,9.7,45.1,7.5,87.8,0.38,91.7,6.78,53.1,3.71,1.02,0.03,0.45,0.26,50.86,97.3,1.4,-5.18452644102972,0.45460494528880957,-0.7302454090605107,-1.7234101396892276,-0.13554458914929385,0.3231920668340371,2.216358307063885,-0.8831794345996711,-0.10429338441067215,-0.7501455166972637,0.23248501004033006,0.4317143387484855,-0.24204901498456674,0.7322778335495689,-0.5360512429157825,-0.55827384924328,-0.5505141732431075,-0.7823375577894004
Marcos Acuña,ARG,DF,Sevilla,La Liga,0.19,0.0,0.04,0.08,0,0.11,-0.0,0.7,68.38,4.71,80.5,23.63,13.86,-0.03,4.25,1.39,0.69,10.81,1.7,0.93,8.19,0.08,6.83,2.59,3.13,59.1,16.8,24.1,73.0,12.0,2.2,0.1,0.2,1.7,2.0,2.7,0.19,0.08,0.0,0.04,0.15,0.04,0.0,0.04,0.0,0.0,2.78,1.51,0.89,0.39,1.51,0.89,13.32,4.52,5.91,2.32,1.51,0.12,0.0,0.97,1.31,5.9,42.7,24.5,82.1,2.32,68.3,4.51,64.2,5.14,1.31,0.31,1.27,1.27,55.48,94.4,4.1,-1.1751282862110075,4.817981159608194,2.9309989499699873,-1.134340262028241,-0.1871397896660477,-1.2543535560257053,1.6019131539551246,-0.3519788007003831,-0.3356024943880165,0.4021445370566301,-0.5465367444387205,0.3571972930684646,0.96026389516432,0.7916428034670827,0.2769173426827476,-1.2854294286314059,-0.42527439170955184,-0.35172883241326464
